@relation ModifiedAllData

@attribute Uacc 	numeric
@attribute class 	{D, R, G, H}

@data
0.453924029,D
0.410296879,D
1.206871272,D
0.774581047,D
0.330534188,D
0.292021202,D
1.639157746,D
0.773884712,D
0.693588783,D
0.407943352,D
0.38677699,D
1.110428453,D
0.721844682,D
0.335642522,D
0.299963861,D
2.202625207,D
0.720690303,D
0.439480807,D
0.393694436,D
0.969240643,D
0.552605647,D
0.260721367,D
1.167579274,D
2.375969779,D
0.437687922,D
0.50028961,D
1.304588287,D
0.366384746,D
0.315719075,D
0.266721874,D
0.774155259,D
1.321846607,D
1.848644482,D
0.299204655,D
0.381593113,D
2.529591742,D
0.521667815,D
0.565556245,G
0.725112507,G
2.227739665,G
1.446025534,G
1.013873989,G
0.889848839,G
0.692598854,G
0.742014283,G
1.480368141,G
1.546742825,G
2.580793806,G
2.067293242,G
0.723355815,G
0.69063244,G
2.79827363,G
1.94347583,G
1.070406973,G
1.233770534,G
0.63576083,G
0.684144872,G
1.741406581,G
1.184047865,G
1.028460534,G
1.110138519,G
1.550158123,G
0.571643712,G
0.621134287,G
2.955396893,G
1.152563303,G
1.171326639,G
1.448763408,G
1.051023583,G
0.672802973,G
0.658018856,G
1.650062316,G
1.160609661,G
1.057968657,G
3.081159916,G
0.710418428,G
0.689525638,G
1.686718161,G
1.329560136,G
1.6346516,G
0.833915342,G
0.645134024,G
0.788581521,G
1.295995266,G
1.121632566,G
2.033405162,G
0.934757284,G
0.630265997,G
0.740700193,G
1.917498451,G
0.8868444,G
0.694036731,G
2.43980128,G
1.101059524,G
0.605548187,G
0.673125246,G
0.91939224,G
1.764426091,G
0.786321903,G
0.65650851,G
2.405993469,G
1.07109505,G
0.594666691,G
0.676807707,H
0.61954172,H
3.338885823,H
2.393170725,H
2.117504558,H
0.588167708,H
2.396947965,H
0.826563411,H
0.743745652,H
3.499026372,H
1.235365031,H
1.331873025,H
0.941947851,H
2.524319555,H
0.581319543,H
0.698078661,H
3.051951326,H
1.884657412,H
2.030617202,H
1.684472716,H
2.555872176,H
0.565122704,H
0.713783112,H
2.197881928,H
2.440970726,H
2.856278216,H
1.131719787,H
2.312772889,H
0.670903885,H
0.37882998,D
0.618483135,D
0.580387608,D
0.480258849,D
0.522493038,D
0.296901059,D
0.169153422,D
0.268368002,D
0.520356056,D
0.391285803,D
