@relation evalute

@attribute accelerometer 	numeric
@attribute gyroscope 	numeric
@attribute class 	{Drink, Jogging, Walking}

@data
3.991604295, 1.920812361, Walking
4.070115149, 1.665292614, Walking
3.276588325, 1.356999305, Walking
3.847023831, 1.868904491, Walking
3.657594565, 1.786600228, Walking
4.649491365, 2.023713112, Walking
3.725803149, 2.181896616, Walking
4.062026831, 2.175347126, Walking
4.108868818, 2.248499497, Walking
4.12162653, 2.501776721, Walking
4.190821114, 2.43920081, Walking
4.110152291, 1.975365694, Walking
4.632741653, 2.253443443, Walking
3.687593543, 2.317182336, Walking
4.059423305, 2.606161988, Walking
3.633156018, 2.366099244, Walking
3.61798458, 2.284959548, Walking
3.653107435, 1.878474611, Walking
4.068828936, 1.988801177, Walking
4.448416065, 2.005655228, Walking
4.613578858, 1.981000321, Walking
5.732036335, 1.981000321, Walking
4.733432448, 2.006877455, Walking
3.768138351, 2.31717619, Walking
3.811966191, 2.327660303, Walking
5.260288275, 2.327660303, Walking
4.273068445, 2.059029567, Walking
4.127321151, 2.251527755, Walking
4.90084394, 2.833273421, Walking
4.781909569, 2.740922034, Walking
4.286053865, 2.511542868, Walking
4.360109517, 2.563121445, Walking
3.919409587, 2.42828221, Walking
4.307971466, 1.811174179, Walking
3.741501416, 1.815878841, Walking
3.105060255, 1.575489165, Walking
3.985095474, 1.727434765, Walking
3.412842966, 1.480590895, Walking
3.415296904, 1.898177662, Walking
4.347176624, 1.664582078, Walking
4.220151461, 1.530467933, Walking
3.782464824, 1.506815819, Walking
3.157122371, 1.320182451, Walking
3.024724134, 1.386619843, Walking
